Width [m],Depth [m],Area [m2],Height [m],Orientation,WWR [%],SHD,Cooling[kWh],Heating[kWh],Lighting[kWh],EUI [kwh/m2],EffDepth[m],DA [%],UDI [%],CDA [%],SDA [Area%],img,threeD,Rating
4.5,10,45,3.6,270,0.6,0,2240.078062,4957.968172,449.313135,169.9413193,5.25,45,70,60,56.11,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,270,0.6,0,2440.401796,5320.020269,352.527096,180.2877591,6.25,50,69.444444,67.222222,64.44,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_270.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_270.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,315,0.6,0,2135.380139,4198.863629,488.475078,151.6159744,5.75,45,46.666667,60,60,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,315,0.6,0,2351.262745,4508.37739,368.13325,160.6171863,6.25,50,63.888889,65.555556,65.56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,315,0.6,0,2590.821924,4807.978118,271.453781,170.450085,7.25,54.444444,60.555556,75,75,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_315.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_315.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,45,0.6,0,2095.103978,4079.858826,388.742574,145.8601195,5.75,45.555556,43.333333,60,58.89,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,45,0.6,0,2329.551526,4375.864572,229.574442,154.1109009,6.25,50,63.888889,66.111111,64.44,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,45,0.6,0,2554.715149,4625.891392,193.263029,163.8637682,7.25,55,60.555556,74.444444,70.56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_45.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_45.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,90,0.6,0,1990.051419,4479.707959,398.130823,152.6197822,5.25,40.555556,46.666667,55,51.11,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_90.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_90.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,90,0.6,0,2219.763455,4835.898224,313.924572,163.7685834,5.75,45,58.333333,60,56.11,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_90.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_90.0_RMDEPTH_10.0_RMH_3.6.json,0
